claim_id,public_claim,status,scope,backend_or_source,sample_or_count,evidence_path,limitation
competition.regional.first_prize,"2026 全国大学生嵌入式芯片与系统设计竞赛·地瓜机器人赛题·西南赛区一等奖",team_confirmed,"competition result","team confirmation",1,"docs/competition/award_status.yaml","official award source pending"
competition.national.second_prize,"2026 全国大学生嵌入式芯片与系统设计竞赛·地瓜机器人赛题·全国总决赛二等奖",team_confirmed,"competition result","team confirmation",1,"docs/competition/award_status.yaml","official organizing-committee award source pending"
ai.registry.total,"50 unique logical models are release-ready in PC acceptance",accepted,"PC registry and release contract","PC acceptance",50,"evidence/ai_brain/final_acceptance.v1.json","not 50 board-validated models"
ai.x5local.total,"49 X5-local logical models have complete status coverage",complete_with_exceptions,"board status accounting","PC plus independent board overlay",49,"evidence/ai_brain/x5_board_phase_acceptance.v1.json","on-demand library; not simultaneously resident"
ai.finals.board_status,"38 new candidates resolve to 31 validated 4 experimental 3 rejected",complete_with_rejections_and_experimentals,"fixed-task board acceptance","actual X5 CPU/BPU as applicable",38,"evidence/ai_brain/X5_BOARD_PHASE_FINAL_RECEIPT_20260804.md","status is per fixed task contract"
ai.bpu.actual,"24 of 24 BPU-primary candidates executed on actual X5 BPU",accepted,"fixed-input execution","actual Bayes-e BPU",24,"evidence/ai_brain/X5_BOARD_PHASE_FINAL_RECEIPT_20260804.md","execution alone does not imply semantic acceptance"
ai.cpu.actual,"11 of 14 CPU-primary candidates executed on actual X5 CPU",partial,"fixed-task execution","actual X5 CPU","11/14","evidence/ai_brain/X5_BOARD_PHASE_FINAL_RECEIPT_20260804.md","three candidates rejected for incomplete runtime assets"
ai.bpu_llm.experimental,"three segmented BPU LLMs remain experimental",board_experimental,"one fixed next-token contract per model","actual X5 BPU segments plus CPU head",3,"evidence/ai_brain/x5_board_phase_acceptance.v1.json","fixed next-token mismatch; no general free-generation claim"
embodied.v5r1.fixed_contract,"TinyOccFlow and CamSemLite passed fixed-input BPU and recovery gates",accepted_shadow_only,"fixed synthetic/calibration tensors","actual Bayes-e BPU","200 runs per model; 30 recovery cycles","evidence/embodied_brain/X5_BOARD_ACCEPTANCE_20260804.md","not real-camera accuracy or navigation success"
embodied.v5r1.latency,"TinyOccFlow p95 5.193 ms and CamSemLite p95 6.417 ms",accepted_shadow_only,"Python fixed-input invocation","actual Bayes-e BPU","200 runs per model","evidence/embodied_brain/X5_BOARD_ACCEPTANCE_20260804.md","not sustained navigation load or throughput-tool metric"
embodied.cortex,"integrated Cortex remains MONITOR_OFFLINE",not_promoted,"integrated live sensor graph","offline foundation only",0,"evidence/system/DUAL_X5_CANDIDATE_BOARD_CLOSEOUT_20260804.md","missing complete synchronized live session and integration evidence"
workstation.frozen_v3,"fixed dual-arm bag and grinding chain has physical handoff evidence",frozen_physical_baseline,"fixed fixture and fixed action sequence","two physical arms plus workstation vision","one accepted workflow handoff","evidence/workstation/FINALS_PART3_HANDOFF_20260720.md","not arbitrary-task or layout generalization"
workstation.successor,"dual-arm learned successor is passive fixture replay",replay_only,"command-derived fixture and fixed board samples","PC/X5 passive replay",16,"evidence/workstation/X5_BOARD_DEPLOYMENT_HANDOFF_20260804.md","not a real policy and has no motion authority"
portal.readonly,"public evidence portal has no reverse hardware-control authority",design_boundary,"public presentation layer","static snapshot/read-only interface",N/A,"docs/architecture/SYSTEM_ARCHITECTURE.md","availability does not imply live device state"
